Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Default price,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [C Autoparts],Price [C Autoparts],In stock [C Autoparts],Low stock [C Autoparts],Optimal stock [C Autoparts],Available for sale [OLD A/P],Price [OLD A/P],In stock [OLD A/P],Low stock [OLD A/P],Optimal stock [OLD A/P],Available for sale [Stock - Accessories],Price [Stock - Accessories],In stock [Stock - Accessories],Low stock [Stock - Accessories],Optimal stock [Stock - Accessories],Available for sale [WAREHOUSE],Price [WAREHOUSE],In stock [WAREHOUSE],Low stock [WAREHOUSE],Optimal stock [WAREHOUSE],Available for sale [TIRES],Price [TIRES],In stock [TIRES],Low stock [TIRES],Optimal stock [TIRES],Available for sale [JUNIOR],Price [JUNIOR],In stock [JUNIOR],Low stock [JUNIOR],Optimal stock [JUNIOR]
[500-pcs]-mm-hex-nut,35577723,[500 PCS] MM HEX NUT,MISC,,N,SIZE,4MM X 0.70,,,,,variable,208.0,6110137868931,,,,,,0.0,Y,variable,3.0,1.0,2.0,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[500-pcs]-mm-hex-nut,28731291,[500 PCS] MM HEX NUT,MISC,,N,SIZE,5MM X 0.80,,,,,variable,216.0,9318143556492,,,,,,0.0,Y,variable,1.0,1.0,2.0,Y,variable,1.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[500-pcs]-mm-hex-nut,86545321,[500 PCS] MM HEX NUT,MISC,,N,SIZE,6MM X 1.00,,,,,variable,264.0,8305162153208,,,,,,0.0,Y,variable,8.0,1.0,2.0,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[500-pcs]-mm-hex-nut,83814823,[500 PCS] MM HEX NUT,MISC,,N,SIZE,8MM X 1.25,,,,,variable,440.0,5538565407758,,,,,,0.0,Y,variable,3.0,1.0,2.0,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[500-pcs]-lock-washer,51615784,[500 PCS] MM LOCK WASHER,MISC,,N,SIZE,10MM,,,,,variable,291.6,7258400157950,,,Y,,,0.0,Y,variable,3.0,2.0,5.0,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[500-pcs]-lock-washer,75323122,[500 PCS] MM LOCK WASHER,MISC,,N,SIZE,12MM,,,,,variable,0.0,6709384993111,,,,,,0.0,Y,variable,1.0,2.0,5.0,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[500-pcs]-lock-washer,32755436,[500 PCS] MM LOCK WASHER,MISC,,N,SIZE,6MM,,,,,variable,64.8,4081865409357,,,,,,0.0,Y,variable,4.0,2.0,5.0,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[500-pcs]-lock-washer,67313366,[500 PCS] MM LOCK WASHER,MISC,,N,SIZE,8MM,,,,,variable,0.0,6084983658090,,,,,,0.0,Y,variable,4.0,2.0,5.0,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[500-pcs]-ord-lock-washer,28012,[500 PCS] ORD LOCK WASHER,MISC,,N,SIZE,#1/2,,,,,variable,416.1,4097366797572,,,Y,,,0.0,Y,variable,1.0,2.0,5.0,Y,variable,0.0,,,N,variable,0.0,,,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[500-pcs]-ord-lock-washer,11235693,[500 PCS] ORD LOCK WASHER,MISC,,N,SIZE,#1/4,,,,,variable,39.9,9604928555195,,,,,,0.0,Y,variable,2.0,2.0,5.0,Y,variable,0.0,,,N,variable,0.0,,,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[500-pcs]-ord-lock-washer,33154895,[500 PCS] ORD LOCK WASHER,MISC,,N,SIZE,#3/4,,,,,variable,1274.9,3790655186491,,,,,,0.0,Y,variable,1.0,2.0,5.0,Y,variable,0.0,,,N,variable,0.0,,,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[500-pcs]-ord-lock-washer,41628450,[500 PCS] ORD LOCK WASHER,MISC,,N,SIZE,#3/8,,,,,variable,207.1,9604928555195,,,,,,0.0,Y,variable,2.0,2.0,5.0,Y,variable,0.0,,,N,variable,0.0,,,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[500-pcs]-ord-lock-washer,66923025,[500 PCS] ORD LOCK WASHER,MISC,,N,SIZE,#5/16,,,,,variable,0.0,9932426056266,,,,,,0.0,Y,variable,2.0,2.0,5.0,Y,variable,0.0,,,N,variable,0.0,,,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[500-pcs]-ord-lock-washer,28013,[500 PCS] ORD LOCK WASHER,MISC,,N,SIZE,#5/8,,,,,variable,731.5,5475043899952,,,,,,0.0,Y,variable,1.0,2.0,5.0,Y,variable,0.0,,,N,variable,0.0,,,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[500-pcs]-ord-lock-washer,49533371,[500 PCS] ORD LOCK WASHER,MISC,,N,SIZE,#7/16,,,,,variable,0.0,1307211760874,,,,,,0.0,Y,variable,2.0,2.0,5.0,Y,variable,0.0,,,N,variable,0.0,,,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
HX029,HX029,[DUP] TRUMARK ALT ASSY HX029 ISU 6HE1,ALTERNATOR ASSY #2 - TRUMARK,,N,,,,,,,variable,6375.0,8741241319474,,,Y,,,0.0,Y,variable,1.0,0.0,1.0,Y,variable,0.0,,,N,variable,0.0,,,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
trumark-alt-assy-hx029-isu-6he1-1,17357892,[DUP] TRUMARK ALT ASSY HX029 ISU 6HE1,ALTERNATOR ASSY #2 - TRUMARK,,N,,,,,,,variable,6375.0,4512140103535,,,Y,,,0.0,Y,variable,1.0,0.0,1.0,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[free]-balancing-count-for-tire-purchase,28015,[FREE] BALANCING COUNT FOR TIRE PURCHASE,CAR SERVICED BALANCING,,N,,,,,,,0.00,0.0,2932205498215,,,Y,,,0.0,N,0.00,0.0,,,N,0.00,0.0,,,N,0.00,-10.0,,,N,0.00,0.0,,,Y,0.00,-236.0,,,Y,0.00,-55.0,,
[free]-der-armor-armour-seal,54155793,[FREE] DER ARMOR ARMOUR SEAL,ACCESSORIES DER ARMOR #01,,N,CAR,FORD RANGER,,,,,0.00,0.0,4515392701887,,,Y,,,0.0,N,variable,0.0,,,N,variable,0.0,,,Y,variable,2.0,1.0,2.0,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[free]-der-armor-armour-seal,29895883,[FREE] DER ARMOR ARMOUR SEAL,ACCESSORIES DER ARMOR #01,,N,CAR,NIS NAVARA,,,,,0.00,0.0,4018719701541,,,,,,0.0,N,variable,0.0,,,N,variable,0.0,,,Y,variable,1.0,0.0,1.0,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[free]-der-armor-armour-seal,10894650,[FREE] DER ARMOR ARMOUR SEAL,ACCESSORIES DER ARMOR #01,,N,CAR,TOY HILUX,,,,,0.00,0.0,9219343191196,,,,,,0.0,N,variable,0.0,,,N,variable,0.0,,,Y,variable,0.0,0.0,1.0,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[free]-der-armor-central-locking-kit,67239712,[FREE] DER ARMOR CENTRAL LOCKING KIT,ACCESSORIES DER ARMOR #01,,N,CAR,FORD RANGER NEWGEN,,,,,variable,0.0,6725041420719,,,Y,,,0.0,N,variable,0.0,,,N,variable,0.0,,,Y,variable,13.0,0.0,1.0,N,variable,5.0,,,N,variable,0.0,,,N,variable,0.0,,
[free]-der-armor-central-locking-kit,28078124,[FREE] DER ARMOR CENTRAL LOCKING KIT,ACCESSORIES DER ARMOR #01,,N,CAR,ISU DMAX,,,,,0.00,0.0,9365595499587,,,,,,0.0,N,0.00,0.0,,,N,0.00,0.0,,,Y,0.00,1.0,0.0,1.0,N,0.00,0.0,,,N,0.00,0.0,,,N,0.00,0.0,,
[free]-der-armor-central-locking-kit,49627131,[FREE] DER ARMOR CENTRAL LOCKING KIT,ACCESSORIES DER ARMOR #01,,N,CAR,MIT TRITON ATHLETE,,,,,variable,0.0,7221445796935,,,,,,0.0,N,variable,0.0,,,N,variable,0.0,,,Y,variable,1.0,0.0,1.0,N,variable,1.0,,,N,variable,0.0,,,N,variable,0.0,,
[free]-der-armor-central-locking-kit,27186545,[FREE] DER ARMOR CENTRAL LOCKING KIT,ACCESSORIES DER ARMOR #01,,N,CAR,NIS NAVARA,,,,,variable,0.0,4981646794576,,,,,,0.0,N,variable,0.0,,,N,variable,0.0,,,Y,variable,7.0,0.0,1.0,N,variable,1.0,,,N,variable,0.0,,,N,variable,0.0,,
[free]-der-armor-central-locking-kit,78046726,[FREE] DER ARMOR CENTRAL LOCKING KIT,ACCESSORIES DER ARMOR #01,,N,CAR,TOY HILUX W KEYHOLE,,,,,variable,0.0,8294510593721,,,,,,0.0,N,variable,0.0,,,N,variable,0.0,,,Y,variable,2.0,0.0,1.0,N,variable,3.0,,,N,variable,0.0,,,N,variable,0.0,,
[free]-der-armor-central-locking-kit,49727333,[FREE] DER ARMOR CENTRAL LOCKING KIT,ACCESSORIES DER ARMOR #01,,N,CAR,TOY HILUX WO KEYHOLE,,,,,variable,0.0,4670659862043,,,,,,0.0,N,variable,0.0,,,N,variable,0.0,,,Y,variable,2.0,0.0,1.0,N,variable,3.0,,,N,variable,0.0,,,N,variable,0.0,,
[free]-elite-track-package-count,50458255,[FREE] ELITE TRACK PACKAGE COUNT,CAR SERVICED ALIGNMENT,<p>ALIGNMENT + ROAD FORCE BALANCING + STRAIGHT TRAK COUNT</p>,N,,,,,,,0.00,0.0,6927404423720,,,Y,,,0.0,N,0.00,0.0,,,N,0.00,0.0,,,N,0.00,-2.0,,,N,0.00,0.0,,,Y,0.00,0.0,,,Y,0.00,0.0,,
kangaroo-rubber-matting-kr-900g-gray,26646,[FREE] KANGAROO RUBBER MATTING KR-900G GRAY,ACCESSORIES MISC #01,,N,,,,,,,0.00,0.0,51071152546627,,,Y,,,0.0,N,variable,0.0,,,N,variable,0.0,,,Y,variable,8.0,0.0,1.0,N,variable,0.0,,,N,variable,0.0,,,N,0.00,0.0,,
[free]-nwb-sun-shield-1,11835,[FREE] NWB SUN SHIELD,WIPER BLADE #00,,N,,,,,,,0.00,0.0,3296238924127,,,Y,,,0.0,Y,0.00,95.0,0.0,0.0,Y,0.00,6.0,,,Y,0.00,25.0,,,N,0.00,0.0,,,N,0.00,0.0,,,N,0.00,0.0,,
[free]-power-drive-package-count,32917967,[FREE] POWER DRIVE PACKAGE COUNT,CAR SERVICED ALIGNMENT,,N,,,,,,,0.00,0.0,2622670448760,,,Y,,,0.0,N,0.00,0.0,,,N,0.00,0.0,,,N,0.00,-13.0,,,N,0.00,0.0,,,Y,0.00,-100.0,,,Y,0.00,0.0,,
